config,criterion,run,i,j,true,sel,hit
exp2_bal_p,huard_global,44,1,0,CubSec,Student,0
exp2_bal_p,huard_global,44,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,45,0,0,Student,Student,1
exp2_bal_p,huard_global,45,0,1,CubSec,Student,0
exp2_bal_p,huard_global,45,1,0,CubSec,Student,0
exp2_bal_p,huard_global,45,1,1,Clayton,Student,0
exp2_bal_p,huard_global,46,0,0,Student,Student,1
exp2_bal_p,huard_global,46,0,1,CubSec,Student,0
exp2_bal_p,huard_global,46,1,0,CubSec,Student,0
exp2_bal_p,huard_global,46,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,47,0,0,Student,Student,1
exp2_bal_p,huard_global,47,0,1,CubSec,Student,0
exp2_bal_p,huard_global,47,1,0,CubSec,Student,0
exp2_bal_p,huard_global,47,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,48,0,0,Student,Student,1
exp2_bal_p,huard_global,48,0,1,CubSec,Student,0
exp2_bal_p,huard_global,48,1,0,CubSec,Student,0
exp2_bal_p,huard_global,48,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,49,0,0,Student,Student,1
exp2_bal_p,huard_global,49,0,1,CubSec,Student,0
exp2_bal_p,huard_global,49,1,0,CubSec,Student,0
exp2_bal_p,huard_global,49,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,50,0,0,Student,Student,1
exp2_bal_p,huard_global,50,0,1,CubSec,Student,0
exp2_bal_p,huard_global,50,1,0,CubSec,Student,0
exp2_bal_p,huard_global,50,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,51,0,0,Student,Student,1
exp2_bal_p,huard_global,51,0,1,CubSec,Student,0
exp2_bal_p,huard_global,51,1,0,CubSec,Student,0
exp2_bal_p,huard_global,51,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,52,0,0,Student,Student,1
exp2_bal_p,huard_global,52,0,1,CubSec,Student,0
exp2_bal_p,huard_global,52,1,0,CubSec,Student,0
exp2_bal_p,huard_global,52,1,1,Clayton,Student,0
exp2_bal_p,huard_global,53,0,0,Student,Student,1
exp2_bal_p,huard_global,53,0,1,CubSec,Student,0
exp2_bal_p,huard_global,53,1,0,CubSec,Student,0
exp2_bal_p,huard_global,53,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,54,0,0,Student,Student,1
exp2_bal_p,huard_global,54,0,1,CubSec,Student,0
exp2_bal_p,huard_global,54,1,0,CubSec,Student,0
exp2_bal_p,huard_global,54,1,1,Clayton,Student,0
exp2_bal_p,huard_global,55,0,0,Student,Student,1
exp2_bal_p,huard_global,55,0,1,CubSec,Student,0
exp2_bal_p,huard_global,55,1,0,CubSec,Student,0
exp2_bal_p,huard_global,55,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,56,0,0,Student,Student,1
exp2_bal_p,huard_global,56,0,1,CubSec,Student,0
exp2_bal_p,huard_global,56,1,0,CubSec,Student,0
exp2_bal_p,huard_global,56,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,57,0,0,Student,Student,1
exp2_bal_p,huard_global,57,0,1,CubSec,Student,0
exp2_bal_p,huard_global,57,1,0,CubSec,Student,0
exp2_bal_p,huard_global,57,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,58,0,0,Student,Student,1
exp2_bal_p,huard_global,58,0,1,CubSec,Student,0
exp2_bal_p,huard_global,58,1,0,CubSec,CubSec,1
exp2_bal_p,huard_global,58,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,59,0,0,Student,Student,1
exp2_bal_p,huard_global,59,0,1,CubSec,Student,0
exp2_bal_p,huard_global,59,1,0,CubSec,Student,0
exp2_bal_p,huard_global,59,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,60,0,0,Student,Student,1
exp2_bal_p,huard_global,60,0,1,CubSec,Student,0
exp2_bal_p,huard_global,60,1,0,CubSec,Student,0
exp2_bal_p,huard_global,60,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,61,0,0,Student,Student,1
exp2_bal_p,huard_global,61,0,1,CubSec,Student,0
exp2_bal_p,huard_global,61,1,0,CubSec,Student,0
exp2_bal_p,huard_global,61,1,1,Clayton,Student,0
exp2_bal_p,huard_global,62,0,0,Student,Student,1
exp2_bal_p,huard_global,62,0,1,CubSec,Student,0
exp2_bal_p,huard_global,62,1,0,CubSec,CubSec,1
exp2_bal_p,huard_global,62,1,1,Clayton,Student,0
exp2_bal_p,huard_global,63,0,0,Student,Student,1
exp2_bal_p,huard_global,63,0,1,CubSec,Student,0
exp2_bal_p,huard_global,63,1,0,CubSec,Student,0
exp2_bal_p,huard_global,63,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,64,0,0,Student,Student,1
exp2_bal_p,huard_global,64,0,1,CubSec,Student,0
exp2_bal_p,huard_global,64,1,0,CubSec,Student,0
exp2_bal_p,huard_global,64,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,65,0,0,Student,Student,1
exp2_bal_p,huard_global,65,0,1,CubSec,Student,0
exp2_bal_p,huard_global,65,1,0,CubSec,Student,0
exp2_bal_p,huard_global,65,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,66,0,0,Student,Student,1
exp2_bal_p,huard_global,66,0,1,CubSec,Student,0
exp2_bal_p,huard_global,66,1,0,CubSec,Student,0
exp2_bal_p,huard_global,66,1,1,Clayton,Student,0
exp2_bal_p,huard_global,67,0,0,Student,Student,1
exp2_bal_p,huard_global,67,0,1,CubSec,Student,0
exp2_bal_p,huard_global,67,1,0,CubSec,Student,0
exp2_bal_p,huard_global,67,1,1,Clayton,Student,0
exp2_bal_p,huard_global,68,0,0,Student,Student,1
exp2_bal_p,huard_global,68,0,1,CubSec,Student,0
exp2_bal_p,huard_global,68,1,0,CubSec,Student,0
exp2_bal_p,huard_global,68,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,69,0,0,Student,Student,1
exp2_bal_p,huard_global,69,0,1,CubSec,CubSec,1
exp2_bal_p,huard_global,69,1,0,CubSec,Student,0
exp2_bal_p,huard_global,69,1,1,Clayton,Student,0
exp2_bal_p,huard_global,70,0,0,Student,Student,1
exp2_bal_p,huard_global,70,0,1,CubSec,Student,0
exp2_bal_p,huard_global,70,1,0,CubSec,Student,0
exp2_bal_p,huard_global,70,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,71,0,0,Student,Student,1
exp2_bal_p,huard_global,71,0,1,CubSec,Student,0
exp2_bal_p,huard_global,71,1,0,CubSec,Student,0
exp2_bal_p,huard_global,71,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,72,0,0,Student,Student,1
exp2_bal_p,huard_global,72,0,1,CubSec,Student,0
exp2_bal_p,huard_global,72,1,0,CubSec,Student,0
exp2_bal_p,huard_global,72,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,73,0,0,Student,Student,1
exp2_bal_p,huard_global,73,0,1,CubSec,GH,0
exp2_bal_p,huard_global,73,1,0,CubSec,Student,0
exp2_bal_p,huard_global,73,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,74,0,0,Student,Student,1
exp2_bal_p,huard_global,74,0,1,CubSec,Student,0
exp2_bal_p,huard_global,74,1,0,CubSec,Student,0
exp2_bal_p,huard_global,74,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,75,0,0,Student,Student,1
exp2_bal_p,huard_global,75,0,1,CubSec,Student,0
exp2_bal_p,huard_global,75,1,0,CubSec,Student,0
exp2_bal_p,huard_global,75,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,76,0,0,Student,Student,1
exp2_bal_p,huard_global,76,0,1,CubSec,Student,0
exp2_bal_p,huard_global,76,1,0,CubSec,CubSec,1
exp2_bal_p,huard_global,76,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,77,0,0,Student,Student,1
exp2_bal_p,huard_global,77,0,1,CubSec,Student,0
exp2_bal_p,huard_global,77,1,0,CubSec,Student,0
exp2_bal_p,huard_global,77,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,78,0,0,Student,Student,1
exp2_bal_p,huard_global,78,0,1,CubSec,Student,0
exp2_bal_p,huard_global,78,1,0,CubSec,Student,0
exp2_bal_p,huard_global,78,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,79,0,0,Student,Student,1
exp2_bal_p,huard_global,79,0,1,CubSec,Student,0
exp2_bal_p,huard_global,79,1,0,CubSec,Student,0
exp2_bal_p,huard_global,79,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,80,0,0,Student,Student,1
exp2_bal_p,huard_global,80,0,1,CubSec,Student,0
exp2_bal_p,huard_global,80,1,0,CubSec,Student,0
exp2_bal_p,huard_global,80,1,1,Clayton,Student,0
exp2_bal_p,huard_global,81,0,0,Student,Student,1
exp2_bal_p,huard_global,81,0,1,CubSec,Student,0
exp2_bal_p,huard_global,81,1,0,CubSec,Student,0
exp2_bal_p,huard_global,81,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,82,0,0,Student,Student,1
exp2_bal_p,huard_global,82,0,1,CubSec,Student,0
exp2_bal_p,huard_global,82,1,0,CubSec,Student,0
exp2_bal_p,huard_global,82,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,83,0,0,Student,Student,1
exp2_bal_p,huard_global,83,0,1,CubSec,Student,0
exp2_bal_p,huard_global,83,1,0,CubSec,Student,0
exp2_bal_p,huard_global,83,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,84,0,0,Student,Student,1
exp2_bal_p,huard_global,84,0,1,CubSec,Student,0
exp2_bal_p,huard_global,84,1,0,CubSec,Student,0
exp2_bal_p,huard_global,84,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,85,0,0,Student,Student,1
exp2_bal_p,huard_global,85,0,1,CubSec,Student,0
exp2_bal_p,huard_global,85,1,0,CubSec,Student,0
exp2_bal_p,huard_global,85,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,86,0,0,Student,Student,1
exp2_bal_p,huard_global,86,0,1,CubSec,Student,0
exp2_bal_p,huard_global,86,1,0,CubSec,Student,0
exp2_bal_p,huard_global,86,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,87,0,0,Student,Student,1
exp2_bal_p,huard_global,87,0,1,CubSec,Student,0
exp2_bal_p,huard_global,87,1,0,CubSec,Student,0
exp2_bal_p,huard_global,87,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,88,0,0,Student,Student,1
exp2_bal_p,huard_global,88,0,1,CubSec,Student,0
exp2_bal_p,huard_global,88,1,0,CubSec,Student,0
exp2_bal_p,huard_global,88,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,89,0,0,Student,Student,1
exp2_bal_p,huard_global,89,0,1,CubSec,Student,0
exp2_bal_p,huard_global,89,1,0,CubSec,Student,0
exp2_bal_p,huard_global,89,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,90,0,0,Student,Student,1
exp2_bal_p,huard_global,90,0,1,CubSec,Student,0
exp2_bal_p,huard_global,90,1,0,CubSec,Student,0
exp2_bal_p,huard_global,90,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,91,0,0,Student,Student,1
exp2_bal_p,huard_global,91,0,1,CubSec,Student,0
exp2_bal_p,huard_global,91,1,0,CubSec,Student,0
exp2_bal_p,huard_global,91,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,92,0,0,Student,Student,1
exp2_bal_p,huard_global,92,0,1,CubSec,Student,0
exp2_bal_p,huard_global,92,1,0,CubSec,Student,0
exp2_bal_p,huard_global,92,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,93,0,0,Student,Student,1
exp2_bal_p,huard_global,93,0,1,CubSec,Student,0
exp2_bal_p,huard_global,93,1,0,CubSec,Student,0
exp2_bal_p,huard_global,93,1,1,Clayton,Student,0
exp2_bal_p,huard_global,94,0,0,Student,Student,1
exp2_bal_p,huard_global,94,0,1,CubSec,Student,0
exp2_bal_p,huard_global,94,1,0,CubSec,Student,0
exp2_bal_p,huard_global,94,1,1,Clayton,Student,0
exp2_bal_p,huard_global,95,0,0,Student,Student,1
exp2_bal_p,huard_global,95,0,1,CubSec,Student,0
exp2_bal_p,huard_global,95,1,0,CubSec,Student,0
exp2_bal_p,huard_global,95,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,96,0,0,Student,Student,1
exp2_bal_p,huard_global,96,0,1,CubSec,Student,0
exp2_bal_p,huard_global,96,1,0,CubSec,Student,0
exp2_bal_p,huard_global,96,1,1,Clayton,Student,0
exp2_bal_p,huard_global,97,0,0,Student,Student,1
exp2_bal_p,huard_global,97,0,1,CubSec,Student,0
exp2_bal_p,huard_global,97,1,0,CubSec,Student,0
exp2_bal_p,huard_global,97,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,98,0,0,Student,Student,1
exp2_bal_p,huard_global,98,0,1,CubSec,Student,0
exp2_bal_p,huard_global,98,1,0,CubSec,Student,0
exp2_bal_p,huard_global,98,1,1,Clayton,Clayton,1
exp2_bal_p,huard_global,99,0,0,Student,Student,1
exp2_bal_p,huard_global,99,0,1,CubSec,Student,0
exp2_bal_p,huard_global,99,1,0,CubSec,Student,0
exp2_bal_p,huard_global,99,1,1,Clayton,Clayton,1
